Timestamp,Have you ever done statistical coding in the WeatherHistory dataset?  (R/Pandas),Average of temperature (R code: mean(WeatherHistory$temperature)),Highest temperature value (R code: min(WeatherHistory$temperature)),Lowest temperature value (R code: min(WeatherHistory$temperature)),"Correlation between temperature and  (R code: cor(WeatherHistory$temperature, WeatherHistory$))","Linear relationship of temperature and humidity (x: temperature, y: humidity) (R code: lm(humidity ~ temperature, WeatherHistory))","Prediction of humidity when temperature is 12 in the WeatherHistory dataset. (R code: predict(mod, newdata=data in the WeatherHistory dataset.frame(temperature=12)))",mean(WeatherHistory$temperature),min(WeatherHistory$temperature),max(WeatherHistory$temperature),"cor(WeatherHistory$temperature, WeatherHistory$)","mod = lm(humidity ~ temperature, WeatherHistory)","predict(mod, newdata=data in the WeatherHistory dataset.frame(temperature=12))",Plot with 
3/22/2018 15:01:29,No,"What's the average temperature in the WeatherHistory dataset?  
What's the mean temperature in the WeatherHistory dataset?  
What's the temperature on any average day in the WeatherHistory dataset? ","What is the maximum temperature in the WeatherHistory dataset?  
What's the hottest temperature in the WeatherHistory dataset? 
Give me the highest temperature degree in the WeatherHistory dataset. ","What is the lowest temperature in the WeatherHistory dataset?  
What's the coldest temperature in the WeatherHistory dataset? 
Give me the lowest temperature degree in the WeatherHistory dataset. ","What's the relationship b/w temperature and  in the WeatherHistory dataset? 
How does temperature influence  in the WeatherHistory dataset? 
Does temperature have an affect on feeling_temperature in the WeatherHistory dataset? ","What's the relationship b/w temperature and humidity in the WeatherHistory dataset? 
How does temperature influence humidity in the WeatherHistory dataset? 
Does temperature have an affect on humidity in the WeatherHistory dataset? ","What is the humidity when temperature is 12 in the WeatherHistory dataset? 
Temperature is 12 and humidity is what in the WeatherHistory dataset? 
Give me the expected humidity when temperature is 12 in the WeatherHistory dataset. ",,,,,,,
3/22/2018 15:16:09,No,"What is the average temperature in the WeatherHistory dataset? 
Find the average temperature in the WeatherHistory dataset. 
Tell me the average temperature in the WeatherHistory dataset. ","What is the highest temperature value in the WeatherHistory dataset? 
Find the highest temperature value in the WeatherHistory dataset. 
Tell me the highest temperature value in the WeatherHistory dataset. ","What is the lowest temperature value in the WeatherHistory dataset? 
Find the lowest temperature value in the WeatherHistory dataset. 
Tell me the lowest temperature value in the WeatherHistory dataset. ","What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? 
Find the correlation between temperature and feeling_temperature in the WeatherHistory dataset. 
Tell me the correlation between temperature and feeling_temperature in the WeatherHistory dataset. ","How does humidity respond to a change in temperature in the WeatherHistory dataset? 
How strong is the linear relationship between humidity and temperature in the WeatherHistory dataset? 
Can a change in temperature predict a change in humidity in the WeatherHistory dataset? ","Predict the humidity level when the temperature is 12 in the WeatherHistory dataset. 
What is the humidity when the temperature is 12 in the WeatherHistory dataset? 
What would the humidity be given a temperature of 12 in the WeatherHistory dataset? ",,,,,,,
3/22/2018 15:20:32,Yes,,,,,,,Can you take the average of all temperature in the weather history data base in the WeatherHistory dataset.,Please find the coldest temperature in the weather history data base in the WeatherHistory dataset. ,Find the hottest temperature in the WeatherHistory database ,What is the correlation between temperature and feeling_temperature in the database in the WeatherHistory dataset.,Find a linear regression between humidity and temperature in WeatherHistory data.,Based on the regression can you find the predicted value of humidity when temperature is 12 degrees celsius in WeatherHistory data,
3/22/2018 15:34:46,Yes,,,,,,,"What's the average of temperature in the WeatherHistory dataset? 
What's mean of the temperature in the data set in the WeatherHistory dataset? 
What's the average temperature in celsius in the WeatherHistory dataset? ","What's the lowest temperature in weather history in the WeatherHistory dataset? 
What's the minimum temperature of all temperature in the WeatherHistory dataset? 
What's the coldest temperature in the WeatherHistory dataset? ","What's the highest temperature in weather history in the WeatherHistory dataset? 
What's the max temperature of all temperature in the WeatherHistory dataset? 
What's the hottest temperature in the WeatherHistory dataset? ","What's the correlation between actual temperature and feeling_temperature in the WeatherHistory dataset? 
Is there a correlation between actual temperature and feeling_temperature in the WeatherHistory dataset? 
COuld you find the correlation between actual temperature and feeling_temperature in the WeatherHistory dataset? ","What's the relationship between humidity and temperature in the WeatherHistory dataset? 
Can you make a relationship between humidity and temperature in the WeatherHistory dataset? 
What's the linear regression of humidity on temperature in the WeatherHistory dataset? ","Can you predict from the model what humidity is associated with temperature 12 in the WeatherHistory dataset? 
What's the predicted humidity whenm temperature is 12 in the WeatherHistory dataset? 
What's the predicted value of humidity when temperature is 12 degrees celsius in the WeatherHistory dataset? ",
3/22/2018 15:42:13,No,"What's the average temperature in the WeatherHistory dataset? 
Of the listed temperature, what is the mean in the WeatherHistory dataset? 
What is the mean temperature in the WeatherHistory dataset? 
Give the average temperature in the WeatherHistory dataset.
Tell me the average temperature in the WeatherHistory dataset.","Of the listed temperature values, which is the highest in the WeatherHistory dataset? 
What is the highest temperature listed in the WeatherHistory dataset? 
Which listed temperature is the greatest in the WeatherHistory dataset? 
Give me the highest temperature value in the WeatherHistory dataset.
What is the highest temperature value in the WeatherHistory dataset? 
What's the highest temperature value in the WeatherHistory dataset? 
","Of the listed temperature values, which is the lowest in the WeatherHistory dataset? 
What is the lowest temperature listed in the WeatherHistory dataset? 
Which listed temperature is the least in the WeatherHistory dataset? 
Give me the lowest temperature value in the WeatherHistory dataset.
What is the lowest temperature value in the WeatherHistory dataset? 
What's the lowest temperature value in the WeatherHistory dataset? ","What is the actual temperature and feeling_temperature in the WeatherHistory dataset? 
Give me the actual temperature and feeling_temperature in the WeatherHistory dataset.
Tell me what feeling_temperature outside, and what's the actual temperature in the WeatherHistory dataset? 
What temperature is feeling_temperature outside, and tell me the actual temperature in the WeatherHistory dataset.
Is the feeling_temperature higher than the actual temperature (and vice-versa) in the WeatherHistory dataset? 
By how much is the feeling_temperature higher than the actual temperature (and vice-versa) in the WeatherHistory dataset? ","What's the relationship between temperature and humidity in the WeatherHistory dataset?  
How correlated are temperature and humidity in the WeatherHistory dataset? 
How are temperature and humidity correlated in the WeatherHistory dataset?  
To what extent are temperature and humidity in the WeatherHistory dataset?  ","What's the humidity at 12 degrees in the WeatherHistory dataset? 
At 12 degrees, what's the predicted humidity in the WeatherHistory dataset? 
What is the humidity at the current temperature in the WeatherHistory dataset? 
What is the humidity at the predicted temperature at 12 pm in the WeatherHistory dataset? 
At 12 degrees, what will the humidity be in the WeatherHistory dataset? ",,,,,,,
3/22/2018 15:59:02,No,"what is the average temperature in the WeatherHistory dataset? 
what's the mean temperature in the WeatherHistory dataset? 
how is the temperature usually in the WeatherHistory dataset? 
what is the typical temperature in the WeatherHistory dataset? ","how hot does it get in the WeatherHistory dataset? 
how hot has it ever gotten in the WeatherHistory dataset? 
what is the highest temperature recorded in the WeatherHistory dataset? ","how cold does it get in the WeatherHistory dataset? 
what's the coldest it's ever been in the WeatherHistory dataset? 
what is the lowest temperature recorded in the WeatherHistory dataset? ","does feeling_temperature like temperature forecasted in the WeatherHistory dataset? 
to what extent does the feeling_temperature forecasted match the actual temperature in the WeatherHistory dataset? 
is the temperature accurate to feeling_temperature in the WeatherHistory dataset? ","what is the relationship between temperature and humidity in the WeatherHistory dataset? 
how does temperature affect humidity in the WeatherHistory dataset? 
is temperature correlated with humidity in the WeatherHistory dataset? ","when it is 12 degrees Celsius, what will the humidity be in the WeatherHistory dataset?   
what will the humidity be when it's 12 degrees celsius in the WeatherHistory dataset? 
can I have the forecasted humidity level for when it's 12 degrees in the WeatherHistory dataset?  ",,,,,,,
3/22/2018 17:06:57,Yes,,,,,,,"What is the mean temperature in the WeatherHistory dataset? 
Give me the mean of temperature in the WeatherHistory dataset.
Tell me what the mean of the temperature is in the WeatherHistory dataset. ","What is the minimum  of temperature in the WeatherHistory dataset? 
What is the minimum temperature entry in the WeatherHistory dataset?
Tell me what the minimum temperature is in the WeatherHistory dataset.   ","What is the maximum of temperature in the WeatherHistory dataset? 
What is the maximum temperature entry in the WeatherHistory dataset?  
Give me the maximum of temperature in the WeatherHistory dataset.","What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? 
How correlated is temperature from feeling_temperature in the WeatherHistory dataset?  
Give me the correlation between temperature and feeling_temperature in the WeatherHistory dataset. ","What is the linear model of temperature predicting humidity  in the WeatherHistory dataset? 
What is the regression model of temperature predicting humidity in the WeatherHistory dataset?  
What is the regression equation of temperature predicting humidity in the WeatherHistory dataset? ","Given that temperature is 12 predict what the value of humidity would be in the WeatherHistory dataset.
What is the humidity when the temperature is 12 in the WeatherHistory dataset?  
When the temperature is 12, what is the value of humidity in the WeatherHistory dataset?  ",
3/22/2018 17:16:45,No,what is the average temperature in the WeatherHistory dataset? ,what is the highest temperature recorded in the WeatherHistory dataset? ,what is the lowest temperature recorded in the WeatherHistory dataset? ,is there a correlation between temperature and feeling_temperature in the WeatherHistory dataset? ,is there a linear relationship between temperature and humidity in the WeatherHistory dataset? ,what is your prediction of humidity when the temperature is 12 in WeatherHistory data.,,,,,,,
3/22/2018 19:15:18,Yes,,,,,,,"What is the average temperature of the Weather History dataset in the WeatherHistory dataset? 
Can you tell me what the average temperature of the dataset is in the WeatherHistory dataset? 
Find the total mean temperature in the WeatherHistory dataset.","What is the lowest temperature of the Weather History dataset in the WeatherHistory dataset? 
Can you tell me what the temperature was on the coldest day in the WeatherHistory dataset? 
How cold did it get based on the dataset in the WeatherHistory dataset? ","What is the highest temperature of the Weather History dataset in the WeatherHistory dataset? 
Can you tell me what the temperature was on the hottest day in the WeatherHistory dataset? 
How hot did it get based on the dataset in the WeatherHistory dataset? ","What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? 
Describe the relationship of temperature and feeling_temperature based on their correlation in the WeatherHistory dataset.
Tell me the numeric correlation value of temperature and feeling_temperature in the WeatherHistory dataset.","Create a linear model of humidity through temperature in the Weather History data frame in the WeatherHistory dataset.
Describe the relationship of humidity and temperature variable in the Weather History data frame by creating a linear model
Can you tell me difference in relationship of humidity and temperature in the WeatherHistory dataset? ","Predict the the linear model when the temperature is at 12 degrees in the WeatherHistory dataset.
Find the temperature linear model at 12 degrees in the WeatherHistory dataset.
Describe the linear model at temp = 12 degrees by using prediction in the WeatherHistory dataset.",
3/23/2018 12:32:56,No,"What is the average temperature in the WeatherHistory dataset?  
What is the average temperature today in the WeatherHistory dataset? 
Could you check the average temperature today in the WeatherHistory dataset? ","What is the highest temperature value in the WeatherHistory dataset? 
What is the highest temperature today in the WeatherHistory dataset? 
How high does the temperature go in the WeatherHistory dataset? ","What is the lowest temperature value in the WeatherHistory dataset? 
What is the lowest temperature today in the WeatherHistory dataset? 
What is the coldest temperature today in the WeatherHistory dataset? ","What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? 
What is the relationship between temperature and feeling_temperature in the WeatherHistory dataset? 
Do you see any correlation between temperature and feeling_temperature in the WeatherHistory dataset? ","What is the linear relationship of  humidity and temperature in the WeatherHistory dataset? 
Do you notice any linear relationship between humidity and temperature in the WeatherHistory dataset? 
Look for a linear relationship between humidity and temperature in the WeatherHistory dataset.","What is your prediction of humidity when temperature is 12 in the WeatherHistory dataset? 
Predict the humidity when temperature is 12 in the WeatherHistory dataset.
What do you think the humidity should be when the temperature is 12 in the WeatherHistory dataset? ",,,,,,,
