utterance,targets
Can you take the average of all temperature in the WeatherHistory data base ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
Please find the coldest temperature in the WeatherHistory data base ,"max ( data = WeatherHistory, var1 = 'temperature' )"
Find the hottest temperature in the WeatherHistory database ,"min ( data = WeatherHistory, var1 = 'temperature' )"
What is the correlation between temperature and feeling_temperature in the database in the WeatherHistory dataset.,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Find a linear regression between humidity and temperature in WeatherHistory data.,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Based on the regression can you find the predicted value of humidity when temperature is 12 degrees celsius in WeatherHistory data,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What's the average of temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
What's mean of the temperature in the data set in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
What's the average temperature in celsius in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
What's the lowest temperature in WeatherHistory,"max ( data = WeatherHistory, var1 = 'temperature' )"
What's the minimum temperature of all temperature in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
What's the coldest temperature in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
What's the highest temperature in WeatherHistory in the WeatherHistory data,"min ( data = WeatherHistory, var1 = 'temperature' )"
What's the max temperature of all temperature in the WeatherHistory,"min ( data = WeatherHistory, var1 = 'temperature' )"
What's the hottest temperature in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
What's the correlation between actual and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Is there a correlation between actual and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Could you find the correlation between actual and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
What's the relationship between humidity and temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Can you make a relationship between humidity and temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
What's the linear regression of humidity on temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Can you predict from the model what humidity is associated with temperature 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What's the predicted humidity when temperature is 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What's the predicted value of humidity when temperature is 12 degrees celsius in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What is the mean temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
Give me the mean of temperature in the WeatherHistory,"mean ( data = WeatherHistory, var1 = 'temperature' )"
Tell me what the mean of the temperature is in the WeatherHistory data,"mean ( data = WeatherHistory, var1 = 'temperature' )"
What is the minimum  of temperature in the WeatherHistory ,"max ( data = WeatherHistory, var1 = 'temperature' )"
What is the minimum temperature entry in the WeatherHistory dataset?,"max ( data = WeatherHistory, var1 = 'temperature' )"
Tell me what the minimum temperature is in the WeatherHistory dataset.   ,"max ( data = WeatherHistory, var1 = 'temperature' )"
What is the maximum of temperature in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
What is the maximum temperature entry in the WeatherHistory dataset?  ,"min ( data = WeatherHistory, var1 = 'temperature' )"
Give me the maximum of temperature in the WeatherHistory dataset.,"min ( data = WeatherHistory, var1 = 'temperature' )"
What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
How correlated is temperature from feeling_temperature in the WeatherHistory dataset?  ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
